"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.3995589,0.3898437,0
0,6,0.2396451,0.1951338,0
0,9,0.1552491,0.1286143,0
0,12,0.1131367,0.09643146,0
0,15,0.09203975,0.08034983,0
0,18,0.08092419,0.07159977,0
0,21,0.07449756,0.06630457,0
0,24,0.07030691,0.06269484,0
0,27,0.067217,0.05994264,0
0,30,0.06469803,0.05765202,0
0,33,0.06249816,0.05562986,0
0,36,0.06049506,0.0537799,0
0,39,0.05862676,0.05205185,0
0,42,0.05686156,0.05041913,0
0,45,0.05518209,0.04886683,0
0,48,0.0535778,0.04738559,0
0,51,0.05204199,0.04596933,0
0,54,0.0505698,0.04461351,0
0,57,0.04915735,0.04331443,0
0,60,0.04780135,0.04206896,0
0,63,0.04649898,0.04087437,0
0,66,0.04524767,0.03972817,0
0,69,0.04404496,0.038628,0
0,72,0.04288862,0.03757169,0
0,75,0.04177637,0.03655703,0
0,78,0.0407062,0.0355821,0
0,81,0.03967613,0.03464498,0
0,84,0.03868436,0.03374395,0
0,87,0.03772917,0.03287732,0
0,90,0.0368089,0.03204354,0
0,93,0.03592198,0.03124106,0
0,96,0.03506688,0.03046844,0
0,99,0.03424216,0.02972428,0
0,102,0.03344644,0.02900728,0
0,105,0.03267844,0.0283162,0
0,108,0.03193693,0.02764988,0
0,111,0.03122075,0.02700718,0
0,114,0.03052877,0.02638707,0
0,117,0.02985995,0.02578851,0
0,120,0.02921325,0.02521055,0
0,135,0.0262797,0.02259912,0
0,150,0.02377354,0.02038286,0
0,165,0.02161332,0.01848466,0
0,180,0.01973509,0.01684418,0
0,195,0.01808855,0.01541413,0
0,210,0.01663409,0.01415742,0
0,225,0.01534023,0.01304469,0
0,240,0.01418178,0.01205253,0
0,255,0.01313857,0.01116231,0
0,270,0.01219439,0.01035913,0
0,285,0.01133604,0.009630906,0
0,300,0.01055267,0.008967786,0
0,315,0.009835265,0.008361624,0
0,330,0.00917635,0.007805712,0
0,345,0.008569669,0.007294476,0
0,360,0.008009907,0.006823211,0
0,375,0.007492502,0.006387906,0
0,390,0.007013502,0.005985105,0
0,405,0.006569462,0.005611818,0
0,420,0.006157363,0.005265434,0
0,435,0.005774536,0.004943661,0
0,450,0.005418605,0.004644469,0
0,465,0.005087436,0.00436604,0
0,480,0.004779106,0.004106744,0
0,495,0.004491877,0.003865108,0
0,510,0.004224169,0.003639801,0
0,525,0.003974543,0.003429614,0
0,540,0.003741679,0.003233438,0
0,555,0.003524372,0.003050264,0
0,570,0.003321499,0.002879151,0
0,585,0.00313204,0.002719247,0
0,600,0.002955041,0.002569755,0
0,615,0.002789632,0.002429948,0
0,630,0.002635004,0.002299153,0
0,645,0.00249041,0.002176746,0
0,660,0.002355158,0.002062151,0
0,675,0.002228605,0.001954833,0
0,690,0.00211016,0.001854299,0
0,705,0.001999262,0.001760082,0
0,720,0.001895395,0.001671752,0
0,735,0.001798092,0.001588921,0
0,750,0.001706889,0.001511202,0
0,765,0.001621378,0.001438253,0
0,780,0.001541181,0.001369762,0
0,795,0.001465924,0.001305415,0
0,810,0.001395283,0.001244944,0
0,825,0.00132895,0.001188091,0
0,840,0.001266632,0.001134611,0
0,855,0.001208066,0.001084286,0
0,870,0.001153004,0.001036911,0
0,885,0.001101213,0.0009922908,0
0,900,0.001052478,0.0009502436,0
0,915,0.001006596,0.0009105995,0
0,930,0.000963377,0.0008732006,0
0,945,0.0009226542,0.0008379112,0
0,960,0.0008842614,0.0008045936,0
0,975,0.0008480453,0.0007731182,0
0,990,0.0008138603,0.000743355,0
0,1005,0.0007815689,0.0007151866,0
0,1020,0.0007510505,0.0006885164,0
0,1035,0.0007222064,0.0006632823,0
0,1050,0.0006949356,0.0006394008,0
0,1065,0.0006691222,0.0006167258,0
0,1080,0.0006446659,0.0005952164,0
0,1095,0.0006214991,0.0005748104,0
0,1110,0.0005995456,0.0005554386,0
0,1125,0.0005786892,0.0005369704,0
0,1140,0.000558898,0.0005194505,0
0,1155,0.0005401004,0.0005027725,0
0,1170,0.0005222358,0.0004868852,0
0,1185,0.0005052361,0.0004717397,0
0,1200,0.0004890591,0.0004572959,0
0,1215,0.0004736506,0.0004435081,0
0,1230,0.000458961,0.000430348,0
0,1245,0.0004449535,0.0004177722,0
0,1260,0.0004315856,0.000405748,0
0,1275,0.0004188194,0.0003942431,0
0,1290,0.0004066202,0.0003832284,0
0,1305,0.0003949548,0.0003726756,0
0,1320,0.0003837932,0.0003625594,0
0,1335,0.0003731054,0.0003528545,0
0,1350,0.0003628652,0.0003435386,0
0,1365,0.0003530467,0.0003345899,0
0,1380,0.0003436261,0.0003259881,0
0,1395,0.0003345835,0.0003177164,0
0,1410,0.0003258961,0.0003097554,0
0,1425,0.0003175442,0.0003020884,0
0,1440,0.0003095114,0.0002947014,0
