"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0
0,3,0.0002825174,0.000199096,0.002089228,0.1008787
0,6,0.003455415,0.002386756,0.01160566,0.2432326
0,9,0.01012657,0.006954762,0.02450596,0.3795975
0,12,0.01856624,0.01271787,0.03749549,0.4961163
0,15,0.02720716,0.01860908,0.04890066,0.5912474
0,18,0.03512748,0.024003,0.05816722,0.6680681
0,21,0.04194932,0.02864458,0.06532289,0.7300893
0,24,0.04760582,0.03248991,0.07060908,0.780256
0,27,0.05216936,0.03558931,0.07431503,0.8209168
0,30,0.0557602,0.03802538,0.07671469,0.8539323
0,33,0.05850587,0.03988545,0.0780481,0.8807772
0,36,0.06052538,0.0412509,0.07851802,0.9026352
0,39,0.06192453,0.04219403,0.07829396,0.9204481
0,42,0.0627955,0.04277778,0.07751634,0.9349777
0,45,0.06321821,0.04305671,0.07630172,0.9468371
0,48,0.06326186,0.04307804,0.07474711,0.9565228
0,51,0.06298666,0.0428828,0.07293311,0.9644354
0,54,0.06244507,0.04250678,0.07092721,0.970903
0,57,0.06168311,0.04198132,0.06878584,0.9761918
0,60,0.06074115,0.04133391,0.06655628,0.9805166
0,63,0.05965469,0.04058872,0.06427801,0.9840543
0,66,0.05845494,0.03976699,0.06198392,0.9869485
0,69,0.0571693,0.03888736,0.05970118,0.9893168
0,72,0.05582169,0.03796608,0.05745198,0.9912548
0,75,0.0544329,0.03701727,0.05525414,0.9928409
0,78,0.05302079,0.03605307,0.05312156,0.9941391
0,81,0.05160056,0.03508379,0.05106473,0.9952018
0,84,0.05018495,0.03411807,0.04909113,0.9960717
0,87,0.04878442,0.03316298,0.04720553,0.9967838
0,90,0.04740739,0.03222423,0.04541045,0.9973668
0,93,0.04606041,0.03130624,0.04370649,0.997844
0,96,0.04474843,0.03041235,0.04209267,0.9982347
0,99,0.04347497,0.02954492,0.04056676,0.9985546
0,102,0.04224237,0.0287055,0.03912562,0.9988164
0,105,0.04105194,0.02789498,0.03776538,0.9990308
0,108,0.03990421,0.02711368,0.03648178,0.9992064
0,111,0.03879905,0.0263615,0.0352703,0.9993501
0,114,0.03773584,0.02563798,0.03412633,0.9994678
0,117,0.03671362,0.02494246,0.03304532,0.9995642
0,120,0.03573114,0.02427407,0.03202287,0.9996431
0,135,0.03136318,0.02130348,0.02765045,0.9998685
0,150,0.02776363,0.01885648,0.02422061,0.9999514
0,165,0.02476613,0.01681931,0.02145267,0.999982
0,180,0.02224192,0.01510412,0.01916856,0.9999933
0,195,0.02009367,0.0136446,0.01725133,0.9999975
0,210,0.01824729,0.01239031,0.01562017,0.999999
0,225,0.01664574,0.01130245,0.01421663,0.9999996
0,240,0.01524462,0.01035081,0.01299695,0.9999999
0,255,0.01400913,0.009511729,0.01192764,0.9999999
0,270,0.01291177,0.008766502,0.01098264,1
0,285,0.01193066,0.008100266,0.01014146,1
0,300,0.0110483,0.007501122,0.009387852,1
0,315,0.01025061,0.006959487,0.008708786,1
0,330,0.009526122,0.006467582,0.008093772,1
0,345,0.008865485,0.006019042,0.007534281,1
0,360,0.008260968,0.005608616,0.007023317,1
0,375,0.007706144,0.005231938,0.006555105,1
0,390,0.007195619,0.004885341,0.006124824,1
0,405,0.006724818,0.004565717,0.005728419,1
0,420,0.006289826,0.004270408,0.00536244,1
0,435,0.005887275,0.003997125,0.005023937,1
0,450,0.005514241,0.003743882,0.004710366,1
0,465,0.005168158,0.003508937,0.00441951,1
0,480,0.004846754,0.003290746,0.004149412,1
0,495,0.004548005,0.003087936,0.003898341,1
0,510,0.004270104,0.002899278,0.003664753,1
0,525,0.004011423,0.002723669,0.003447268,1
0,540,0.003770492,0.002560108,0.00324464,1
0,555,0.003545972,0.002407689,0.00305574,1
0,570,0.003336645,0.002265584,0.002879543,1
0,585,0.003141409,0.002133043,0.002715123,1
0,600,0.002959238,0.002009373,0.002561621,1
0,615,0.002789201,0.001893939,0.002418257,1
0,630,0.002630429,0.001786151,0.002284303,1
0,645,0.002482124,0.001685469,0.002159093,1
0,660,0.002343546,0.001591391,0.00204201,1
0,675,0.002214016,0.001503454,0.001932487,1
0,690,0.002092905,0.001421232,0.00183,1
0,705,0.00197963,0.001344329,0.001734063,1
0,720,0.00187365,0.001272379,0.001644226,1
0,735,0.001774464,0.001205042,0.001560071,1
0,750,0.001681609,0.001142001,0.001481212,1
0,765,0.001594648,0.001082961,0.001407287,1
0,780,0.00151318,0.00102765,0.00133796,1
0,795,0.001436832,0.0009758157,0.001272921,1
0,810,0.001365251,0.0009272167,0.001211877,1
0,825,0.00129812,0.000881639,0.001154563,1
0,840,0.001235135,0.0008388751,0.001100725,1
0,855,0.001176015,0.0007987352,0.00105013,1
0,870,0.001120503,0.000761045,0.001002565,1
0,885,0.001068356,0.0007256389,0.0009578253,1
0,900,0.001019351,0.0006923656,0.0009157262,1
0,915,0.0009732778,0.0006610826,0.0008760921,1
0,930,0.0009299411,0.0006316574,0.0008387606,1
0,945,0.0008891608,0.0006039676,0.0008035812,1
0,960,0.0008507663,0.0005778975,0.0007704117,1
0,975,0.0008146016,0.0005533412,0.0007391219,1
0,990,0.0007805193,0.0005301985,0.0007095885,1
0,1005,0.0007483819,0.0005083763,0.0006816968,1
0,1020,0.0007180641,0.0004877893,0.0006553423,1
0,1035,0.0006894462,0.0004683564,0.0006304251,1
0,1050,0.0006624184,0.0004500029,0.000606853,1
0,1065,0.000636878,0.0004326593,0.0005845402,1
0,1080,0.0006127288,0.0004162601,0.0005634063,1
0,1095,0.0005898825,0.0004007455,0.0005433778,1
0,1110,0.0005682558,0.0003860589,0.000524385,1
0,1125,0.000547771,0.0003721476,0.0005063626,1
0,1140,0.0005283556,0.0003589623,0.0004892493,1
0,1155,0.0005099414,0.0003464567,0.0004729878,1
0,1170,0.0004924675,0.0003345895,0.0004575283,1
0,1185,0.0004758748,0.0003233207,0.0004428219,1
0,1200,0.0004601084,0.0003126128,0.0004288215,1
0,1215,0.000445116,0.0003024304,0.0004154815,1
0,1230,0.0004308489,0.0002927405,0.0004027598,1
0,1245,0.0004172658,0.000283515,0.000390626,1
0,1260,0.0004043254,0.0002747259,0.0003790458,1
0,1275,0.0003919889,0.0002663468,0.0003679864,1
0,1290,0.0003802178,0.0002583516,0.0003574107,1
0,1305,0.0003689773,0.0002507167,0.0003472881,1
0,1320,0.0003582417,0.0002434245,0.0003376042,1
0,1335,0.000347983,0.0002364563,0.0003283376,1
0,1350,0.0003381747,0.0002297939,0.0003194665,1
0,1365,0.0003287803,0.0002234125,0.0003109429,1
0,1380,0.0003197707,0.0002172923,0.0003027396,1
0,1395,0.0003111364,0.000211427,0.0002948867,1
0,1410,0.0003028607,0.0002058053,0.000287332,1
0,1425,0.0002949086,0.0002004032,0.0002800596,1
0,1440,0.000287267,0.0001952121,0.0002730636,1
