"Time [h]","Avg [mg/l]","Var [mg/l]"
0,0.0002321083,3.86847E-05
0.17,0.003288201,3.868484E-05
0.25,0.007388782,0.004177949
0.33,0.01148936,0.005996133
0.5,0.01404255,0.004874278
0.75,0.0126499,0.005415863
1,0.008433268,0.002901354
1.17,0.008085106,0.00270793
1.25,0.00754352,0.002398453
1.33,0.007079304,0.002359767
1.5,0.006576402,0.002359768
1.75,0.005725338,0.001895552
2,0.004951644,0.001624758
2.5,0.003984526,0.001702128
3,0.003365571,0.001199226
3.5,0.003172147,0.001276596
4,0.002591876,0.0009671182
5,0.001934236,0.0006963249
6,0.001470019,0.0006576406
7,0.001276596,0.0005029012
9,0.0008897486,0.0004255319
