"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.001620753,0.01360184,0.01440954
0,6,0.02365934,0.08598285,0.04767378
0,9,0.09021027,0.2319817,0.09681165
0,12,0.2190209,0.4629431,0.1587437
0,15,0.4226713,0.7836274,0.2291355
0,18,0.7077395,1.19209,0.3036756
0,21,1.074797,1.680707,0.3786568
0,24,1.518936,2.237235,0.4511878
0,27,2.030623,2.846101,0.5192032
0,30,2.59683,3.489968,0.5813996
0,33,3.202373,4.151239,0.6371081
0,36,3.831293,4.813444,0.6861644
0,39,4.468082,5.462126,0.7287604
0,42,5.098611,6.085364,0.7653229
0,45,5.710771,6.673923,0.79641
0,48,6.294744,7.22114,0.8226368
0,51,6.84304,7.722664,0.8446269
0,54,7.350384,8.176145,0.8629749
0,57,7.813457,8.580797,0.8782251
0,60,8.230581,8.937106,0.8908635
0,63,8.601449,9.246597,0.9013169
0,66,8.926816,9.511289,0.9099544
0,69,9.208193,9.733791,0.9170894
0,72,9.447732,9.917228,0.9229864
0,75,9.647964,10.06416,0.9278671
0,78,9.81149,10.17789,0.9319158
0,81,9.941328,10.26211,0.9352853
0,84,10.04037,10.318,0.9381014
0,87,10.111,10.34976,0.9404674
0,90,10.15639,10.36053,0.9424681
0,93,10.17915,10.35019,0.9441729
0,96,10.18151,10.3251,0.9456383
0,99,10.1662,10.28295,0.9469103
0,102,10.13509,10.23017,0.9480263
0,105,10.08989,10.16387,0.9490168
0,108,10.03243,10.0875,0.9499063
0,111,9.964153,10.00297,0.950715
0,114,9.887074,9.912307,0.9514588
0,117,9.802058,9.815239,0.9521509
0,120,9.710487,9.713017,0.9528017
0,135,9.187443,9.155405,0.9556803
0,150,8.617945,8.572163,0.958277
0,165,8.053602,8.005072,0.9607883
0,180,7.519372,7.473426,0.9632697
0,195,7.025378,6.984233,0.9657338
0,210,6.57392,6.538143,0.968181
0,225,6.163402,6.132859,0.9706087
0,240,5.790647,5.764662,0.9730132
0,255,5.451726,5.42967,0.9753906
0,270,5.142831,5.124026,0.9777369
0,285,4.860407,4.844235,0.9800485
0,300,4.601284,4.587205,0.9823219
0,315,4.362694,4.350296,0.9845432
0,330,4.142075,4.130885,0.9866927
0,345,3.937444,3.92705,0.9887713
0,360,3.746803,3.737088,0.9907808
0,375,3.568817,3.55951,0.9927228
0,390,3.402198,3.393148,0.9945989
0,405,3.245847,3.236923,0.9964105
0,420,3.098832,3.089935,0.9981596
0,435,2.960346,2.951396,0.9998475
0,450,2.829686,2.820624,1.001476
0,465,2.706232,2.697009,1.003047
0,480,2.589446,2.580028,1.004562
0,495,2.478847,2.469205,1.006022
0,510,2.374013,2.364134,1.007429
0,525,2.27455,2.264411,1.008785
0,540,2.180126,2.169737,1.010092
0,555,2.090391,2.079712,1.01135
0,570,2.005084,1.99416,1.012562
0,585,1.923925,1.912712,1.013728
0,600,1.846731,1.835298,1.014851
0,615,1.773287,1.761596,1.015932
0,630,1.703335,1.691383,1.016972
0,645,1.636589,1.624349,1.017973
0,660,1.572991,1.560578,1.018936
0,675,1.512436,1.499799,1.019862
0,690,1.454662,1.44177,1.020753
0,705,1.399512,1.386425,1.02161
0,720,1.346887,1.333607,1.022435
0,735,1.296755,1.283335,1.023227
0,750,1.248938,1.235313,1.02399
0,765,1.203226,1.189414,1.024723
0,780,1.159573,1.14563,1.025428
0,795,1.117939,1.103864,1.026106
0,810,1.078186,1.063954,1.026757
0,825,1.040168,1.025793,1.027384
0,840,1.003825,0.9893395,1.027987
0,855,0.9691559,0.9545902,1.028566
0,870,0.9360643,0.9213845,1.029124
0,885,0.904415,0.8896289,1.02966
0,900,0.8741176,0.8592361,1.030175
0,915,0.8451767,0.830246,1.030671
0,930,0.8175473,0.8025427,1.031148
0,945,0.7911375,0.7760664,1.031607
0,960,0.7658452,0.7507003,1.032049
0,975,0.7416899,0.7265319,1.032474
0,990,0.7185938,0.7033725,1.032883
0,1005,0.6964846,0.6812306,1.033277
0,1020,0.6753389,0.6600538,1.033656
0,1035,0.6551095,0.6397991,1.034021
0,1050,0.6357532,0.6204231,1.034373
0,1065,0.6172296,0.6018852,1.034711
0,1080,0.5995009,0.584147,1.035038
0,1095,0.5825305,0.5671718,1.035352
0,1110,0.5662837,0.5509248,1.035655
0,1125,0.5507278,0.5353729,1.035947
0,1140,0.5358307,0.5204837,1.036229
0,1155,0.5215628,0.5062278,1.036501
0,1170,0.5078943,0.492575,1.036764
0,1185,0.4947982,0.4794981,1.037017
0,1200,0.4822482,0.4669705,1.037261
0,1215,0.4702195,0.4549674,1.037498
0,1230,0.4586881,0.4434647,1.037726
0,1245,0.4476312,0.4324393,1.037946
0,1260,0.4370279,0.4218702,1.03816
0,1275,0.4268569,0.411736,1.038366
0,1290,0.4170985,0.4020167,1.038565
0,1305,0.4077346,0.3926943,1.038758
0,1320,0.3987466,0.3837499,1.038945
0,1335,0.3901173,0.3751661,1.039126
0,1350,0.381831,0.3669273,1.039302
0,1365,0.3738714,0.3590171,1.039472
0,1380,0.3662241,0.3514208,1.039637
0,1395,0.3588751,0.3441247,1.039797
0,1410,0.3518101,0.337114,1.039952
0,1425,0.3450166,0.330376,1.040103
0,1440,0.3384823,0.3238986,1.040249
